date,opponent,tournament,japan_score,opponent_score,result,venue,manager,scorers,notes
1917-05-07,Philippines,Friendly,2,15,L,"Tokyo, Japan",,,
1917-05-09,China,Far Eastern Championship Games,0,5,L,"Tokyo, Japan",,,
1917-05-10,Philippines,Far Eastern Championship Games,2,15,L,"Tokyo, Japan",,,
1921-05-30,Philippines,Friendly,0,3,L,"Shanghai, China",,,
1921-05-30,Philippines,Far Eastern Championship Games,1,3,L,"Shanghai, China",,,
1921-06-01,China,Far Eastern Championship Games,0,4,L,"Shanghai, China",,,
1921-06-03,China,Open International Championship,0,3,L,"Shanghai, China",,,
1923-05-23,Philippines,Far Eastern Championship Games,1,2,L,"Osaka, Japan",,,
1923-05-24,China,Far Eastern Championship Games,1,5,L,"Osaka, Japan",,,
1925-05-18,Philippines,Far Eastern Championship Games,0,4,L,"Manila, Philippines",,,
1925-05-20,China,Friendly,0,2,L,"Manila, Philippines",,,
1925-05-20,China,Far Eastern Championship Games,0,2,L,"Manila, Philippines",,,
1927-08-27,China,Far Eastern Championship Games,1,5,L,"Shanghai, China",,,
1927-08-29,Philippines,Far Eastern Championship Games,2,1,W,"Shanghai, China",,,
1930-05-25,Philippines,Far Eastern Championship Games,7,2,W,"Tokyo, Japan",,,
1930-05-29,China,Friendly,3,3,D,"Tokyo, Japan",,,
1930-05-30,China,Far Eastern Championship Games,3,3,D,"Tokyo, Japan",,,
1934-05-13,Indonesia,Far Eastern Championship Games,1,7,L,"Manila, Philippines",,,
1934-05-15,Philippines,Far Eastern Championship Games,4,3,W,"Manila, Philippines",,,
1934-05-20,China,Far Eastern Championship Games,3,4,L,"Manila, Philippines",,,
1939-09-02,China,Friendly,3,0,W,"Xinjing, Manchuria",,,
1939-09-03,Manchukuo,Friendly,6,0,W,"Xinjing, Manchuria",,,
1940-06-07,Manchukuo,Friendly,7,0,W,"Tokyo, Japan",,,
1940-06-09,China,Friendly,6,0,W,"Tokyo, Japan",,,
1940-06-16,Philippines,Friendly,1,0,W,"Nishinomiya, Japan",,,
1942-08-08,China,Friendly,6,1,W,"Xinjing, Manchuria",,,
1942-08-09,Manchukuo,Friendly,3,0,W,"Xinjing, Manchuria",,,
1942-08-10,Mongolia,Friendly,12,0,W,"Xinjing, Manchuria",,,
1951-03-07,Iran,Asian Games,0,0,D,"New Delhi, India",,,
1951-03-08,Iran,Asian Games,2,3,L,"New Delhi, India",,,
1951-03-09,Afghanistan,Asian Games,2,0,W,"New Delhi, India",,,
1954-03-07,South Korea,FIFA World Cup qualification,1,5,L,"Tokyo, Japan",,,
1954-03-14,South Korea,FIFA World Cup qualification,2,2,D,"Tokyo, Japan",,,
1954-05-01,Indonesia,Asian Games,3,5,L,"Manila, Philippines",,,
1954-05-03,India,Asian Games,2,3,L,"Manila, Philippines",,,
1955-01-11,Myanmar,Friendly,1,0,W,"Yangon, Burma",,,
1955-10-09,Myanmar,Friendly,0,0,D,"Tokyo, Japan",,,
1958-05-26,Philippines,Asian Games,0,1,L,"Tokyo, Japan",,,
1958-05-28,Hong Kong,Asian Games,0,2,L,"Tokyo, Japan",,,
1958-12-25,Hong Kong,Friendly,2,5,L,"So Kon Po, Hong Kong",,,
1958-12-28,Malaysia,Friendly,2,6,L,"Kuala Lumpur, Malaya",,,
1959-01-04,Malaysia,Friendly,3,1,W,"George Town, Malaya",,,
1959-01-10,Singapore,Friendly,4,3,W,"Kallang, Singapore",,,
1959-01-11,Singapore,Friendly,2,3,L,"Kallang, Singapore",,,
1959-09-03,Singapore,Merdeka Tournament,4,1,W,"Kuala Lumpur, Malaya",,,
1959-09-05,South Korea,Merdeka Tournament,0,0,D,"Kuala Lumpur, Malaya",,,
1959-09-06,South Korea,Merdeka Tournament,1,3,L,"Kuala Lumpur, Malaya",,,
1960-08-05,Malaysia,Merdeka Tournament,0,3,L,"Kuala Lumpur, Malaya",,,
1960-08-10,Pakistan,Merdeka Tournament,1,3,L,"Kuala Lumpur, Malaya",,,
1960-08-12,Thailand,Merdeka Tournament,3,1,W,"Kuala Lumpur, Malaya",,,
1960-11-06,South Korea,FIFA World Cup qualification,1,2,L,"Seoul, South Korea",,,
1961-05-28,Malaysia,Friendly,3,2,W,"Tokyo, Japan",,,
1961-06-11,South Korea,FIFA World Cup qualification,0,2,L,"Tokyo, Japan",,,
1961-08-02,Malaysia,Merdeka Tournament,2,3,L,"Kuala Lumpur, Malaya",,,
1961-08-06,India,Merdeka Tournament,3,1,W,"Kuala Lumpur, Malaya",,,
1961-08-10,Vietnam Republic,Merdeka Tournament,2,3,L,"Kuala Lumpur, Malaya",,,
1961-08-15,Indonesia,Friendly,0,2,L,"Kallang, Singapore",,,
1962-08-25,Thailand,Asian Games,3,1,W,"Jakarta, Indonesia",,,
1962-08-29,India,Asian Games,0,2,L,"Jakarta, Indonesia",,,
1962-08-30,South Korea,Asian Games,0,1,L,"Jakarta, Indonesia",,,
1962-09-08,Malaysia,Merdeka Tournament,2,2,D,"Kuala Lumpur, Malaya",,,
1962-09-12,Pakistan,Merdeka Tournament,1,1,D,"Kuala Lumpur, Malaya",,,
1962-09-15,Myanmar,Merdeka Tournament,1,3,L,"Kuala Lumpur, Malaya",,,
1962-09-21,Singapore,Friendly,1,2,L,"Kallang, Singapore",,,
1963-08-08,Malaysia,Merdeka Tournament,4,3,W,"Kuala Lumpur, Malaya",,,
1963-08-10,Thailand,Merdeka Tournament,4,1,W,"Kuala Lumpur, Malaya",,,
1963-08-12,Vietnam Republic,Merdeka Tournament,5,1,W,"Kuala Lumpur, Malaya",,,
1963-08-13,South Korea,Merdeka Tournament,1,1,D,"Kuala Lumpur, Malaya",,,
1963-08-15,Taiwan,Merdeka Tournament,0,2,L,"Kuala Lumpur, Malaya",,,
1963-10-12,Vietnam Republic,Friendly,2,1,W,"Tokyo, Japan",,,
1964-03-03,Singapore,Friendly,2,1,W,"Kallang, Singapore",,,
1965-03-11,Hong Kong,Friendly,4,1,W,"So Kon Po, Hong Kong",,,
1965-03-15,Hong Kong,Friendly,2,1,W,"So Kon Po, Hong Kong",,,
1965-03-22,Myanmar,Friendly,1,1,D,"Yangon, Burma",,,
1965-03-25,Singapore,Friendly,4,1,W,"Kallang, Singapore",,,
1965-03-27,Malaysia,Friendly,1,1,D,"Kuala Lumpur, Malaysia",,,
1965-08-14,Malaysia,Merdeka Tournament,2,2,D,"Kuala Lumpur, Malaysia",,,
1965-08-15,India,Merdeka Tournament,1,1,D,"Kuala Lumpur, Malaysia",,,
1965-08-18,Taiwan,Merdeka Tournament,0,4,L,"Kuala Lumpur, Malaysia",,,
1965-08-20,Myanmar,Merdeka Tournament,3,1,W,"Kuala Lumpur, Malaysia",,,
1965-08-24,Thailand,Merdeka Tournament,0,0,D,"Kuala Lumpur, Malaysia",,,
1965-08-28,Vietnam Republic,Merdeka Tournament,2,1,W,"Kuala Lumpur, Malaysia",,,
1966-08-14,South Korea,Merdeka Tournament,0,2,L,"Kuala Lumpur, Malaysia",,,
1966-08-17,India,Merdeka Tournament,0,3,L,"Kuala Lumpur, Malaysia",,,
1966-08-20,Taiwan,Merdeka Tournament,5,2,W,"Kuala Lumpur, Malaysia",,,
1966-08-22,Vietnam Republic,Merdeka Tournament,0,2,L,"Ipoh, Malaysia",,,
1966-08-25,Singapore,Merdeka Tournament,1,0,W,"Kuala Lumpur, Malaysia",,,
1966-12-10,India,Asian Games,2,1,W,"Bangkok, Thailand",,,
1966-12-11,Iran,Asian Games,3,1,W,"Bangkok, Thailand",,,
1966-12-14,Malaysia,Asian Games,1,0,W,"Bangkok, Thailand",,,
